traceId,segmentId,spanId,parentSpanId,parentSegmentId,serviceCode,serviceInstanceName,startTime,endTime,endpointName,type,peer,component,isError,layer,dbAccess,childs
1b02a6ae47274522a96755dab06f2178.93194.16866397033460001,1b02a6ae47274522a96755dab06f2178.93194.16866397033460000,0,-1,,ts-travel-service,566052650f6646868e32168243308357@10.244.3.55,1686639703346,1686639703347,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
8fc8aaf23c6249febb15e69a9ca83f02.93737.16866402228210001,8fc8aaf23c6249febb15e69a9ca83f02.93737.16866402228210000,0,-1,,ts-inside-payment-service,4e892e652cc94cfda250672548373b9e@10.244.5.45,1686640222821,1686640222822,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
72695f0de8a94c618f784ff6f222707c.93589.16866401972160001,72695f0de8a94c618f784ff6f222707c.93589.16866401972160000,0,-1,,ts-order-other-service,7c89f3f10fdb46b89e591c23b0341ab2@10.244.3.56,1686640197216,1686640197216,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
72695f0de8a94c618f784ff6f222707c.93549.16866400348830001,72695f0de8a94c618f784ff6f222707c.93549.16866400348830000,0,-1,,ts-order-other-service,7c89f3f10fdb46b89e591c23b0341ab2@10.244.3.56,1686640034883,1686640034884,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
feb0baf71495413bb80a18e045864f0e.94281.16866401252070001,feb0baf71495413bb80a18e045864f0e.94281.16866401252070000,0,-1,,ts-delivery-service,46e2dfe258464cd1b2784b72a39bd4c8@10.244.5.49,1686640125207,1686640125207,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
1a3ad94d8ff14d429316f5cb8689ec87.93396.16866400244540001,1a3ad94d8ff14d429316f5cb8689ec87.93396.16866400244540000,0,-1,,ts-wait-order-service,5d46f0b5297e4387bfb7c106890f4abd@10.244.6.40,1686640024454,1686640024454,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
fa8e86c5fab843fda610ecce8e408a87.93686.16866399204870001,fa8e86c5fab843fda610ecce8e408a87.93686.16866399204870000,0,-1,,ts-train-food-service,240dcf8a3044478dbf57d24d6e1c8e47@10.244.5.50,1686639920487,1686639920488,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
8fc8aaf23c6249febb15e69a9ca83f02.93637.16866398067780001,8fc8aaf23c6249febb15e69a9ca83f02.93637.16866398067780000,0,-1,,ts-inside-payment-service,4e892e652cc94cfda250672548373b9e@10.244.5.45,1686639806778,1686639806778,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
feb0baf71495413bb80a18e045864f0e.94212.16866398341530001,feb0baf71495413bb80a18e045864f0e.94212.16866398341530000,0,-1,,ts-delivery-service,46e2dfe258464cd1b2784b72a39bd4c8@10.244.5.49,1686639834153,1686639834153,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
feb0baf71495413bb80a18e045864f0e.94230.16866399011180001,feb0baf71495413bb80a18e045864f0e.94230.16866399011180000,0,-1,,ts-delivery-service,46e2dfe258464cd1b2784b72a39bd4c8@10.244.5.49,1686639901118,1686639901119,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
f827a305dcfd4e889eb688163a4ad170.93011.16866401978080001,f827a305dcfd4e889eb688163a4ad170.93011.16866401978080000,0,-1,,ts-order-service,a78bf2a612574a9e8c8b42f149893960@10.244.6.45,1686640197808,1686640197809,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
c0a7557266594a23b7d5b92d0151ebf4.92711.16866398903190001,c0a7557266594a23b7d5b92d0151ebf4.92711.16866398903190000,0,-1,,ts-payment-service,9268bc8743c64a6f9af3b8bd4fd829a5@10.244.6.47,1686639890319,1686639890320,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
1b02a6ae47274522a96755dab06f2178.93234.16866398918420001,1b02a6ae47274522a96755dab06f2178.93234.16866398918420000,0,-1,,ts-travel-service,566052650f6646868e32168243308357@10.244.3.55,1686639891842,1686639891843,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
feb0baf71495413bb80a18e045864f0e.94230.16866399012840003,feb0baf71495413bb80a18e045864f0e.94230.16866399012840002,0,-1,,ts-delivery-service,46e2dfe258464cd1b2784b72a39bd4c8@10.244.5.49,1686639901284,1686639901285,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
c0a7557266594a23b7d5b92d0151ebf4.92744.16866400391020001,c0a7557266594a23b7d5b92d0151ebf4.92744.16866400391020000,0,-1,,ts-payment-service,9268bc8743c64a6f9af3b8bd4fd829a5@10.244.6.47,1686640039102,1686640039102,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
fa8e86c5fab843fda610ecce8e408a87.93670.16866398536690001,fa8e86c5fab843fda610ecce8e408a87.93670.16866398536690000,0,-1,,ts-train-food-service,240dcf8a3044478dbf57d24d6e1c8e47@10.244.5.50,1686639853669,1686639853669,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
f9eede474f3e40dc87876c9cb9d0b01a.94055.16866398249470001,f9eede474f3e40dc87876c9cb9d0b01a.94055.16866398249470000,0,-1,,ts-user-service,5853520222004d2c9ac74a11292103a5@10.244.5.51,1686639824947,1686639824947,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
fa8e86c5fab843fda610ecce8e408a87.93749.16866402069300001,fa8e86c5fab843fda610ecce8e408a87.93749.16866402069300000,0,-1,,ts-train-food-service,240dcf8a3044478dbf57d24d6e1c8e47@10.244.5.50,1686640206930,1686640206931,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
f827a305dcfd4e889eb688163a4ad170.92970.16866400343260001,f827a305dcfd4e889eb688163a4ad170.92970.16866400343260000,0,-1,,ts-order-service,a78bf2a612574a9e8c8b42f149893960@10.244.6.45,1686640034326,1686640034327,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
1b8c996c81e547e7a6b5f0aedd212b94.93093.16866400653120003,1b8c996c81e547e7a6b5f0aedd212b94.93093.16866400653120002,0,-1,,ts-auth-service,e74f3fd927414c7e8db552c64cea2a0a@10.244.6.39,1686640065312,1686640065313,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
f827a305dcfd4e889eb688163a4ad170.92979.16866400563510001,f827a305dcfd4e889eb688163a4ad170.92979.16866400563510000,0,-1,,ts-order-service,a78bf2a612574a9e8c8b42f149893960@10.244.6.45,1686640056351,1686640056351,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
feb0baf71495413bb80a18e045864f0e.94272.16866401027400001,feb0baf71495413bb80a18e045864f0e.94272.16866401027400000,0,-1,,ts-delivery-service,46e2dfe258464cd1b2784b72a39bd4c8@10.244.5.49,1686640102740,1686640102741,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
1a3ad94d8ff14d429316f5cb8689ec87.93392.16866400161760001,1a3ad94d8ff14d429316f5cb8689ec87.93392.16866400161760000,0,-1,,ts-wait-order-service,5d46f0b5297e4387bfb7c106890f4abd@10.244.6.40,1686640016176,1686640016176,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
90565c160ceb4df0b1dad0910f80861e.92779.16866399477800001,90565c160ceb4df0b1dad0910f80861e.92779.16866399477800000,0,-1,,ts-food-delivery-service,40ead85bfe66491684974f22e9c88fd1@10.244.6.42,1686639947780,1686639947781,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
747d75e755b94946895f9b6d730ba0b0.93539.16866398900900003,747d75e755b94946895f9b6d730ba0b0.93539.16866398900900002,0,-1,,ts-consign-service,f20382d9246449d1b5ce97722fac1b4c@10.244.3.53,1686639890090,1686639890090,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
4372c2e56ede46648391f6087354fcd7.94025.16866400028860001,4372c2e56ede46648391f6087354fcd7.94025.16866400028860000,0,-1,,ts-consign-price-service,90bdcb2e574340369b6cbb095e8a2f4d@10.244.5.52,1686640002886,1686640002886,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
747d75e755b94946895f9b6d730ba0b0.93603.16866401588600003,747d75e755b94946895f9b6d730ba0b0.93603.16866401588600002,0,-1,,ts-consign-service,f20382d9246449d1b5ce97722fac1b4c@10.244.3.53,1686640158860,1686640158861,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
fdd08f4ae2e0408188e4d509b8a0d791.93893.16866402544550001,fdd08f4ae2e0408188e4d509b8a0d791.93893.16866402544550000,0,-1,,ts-config-service,8d15a172b50547a4b6506500bc0f5eef@10.244.3.48,1686640254455,1686640254455,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
56d6e651867b46bc8720379ffd55b2b3.92961.16866402357110001,56d6e651867b46bc8720379ffd55b2b3.92961.16866402357110000,0,-1,,ts-price-service,7494e65f4c8d44dcbd2de806f895c8f5@10.244.2.214,1686640235711,1686640235711,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
1b8c996c81e547e7a6b5f0aedd212b94.93137.16866402599810001,1b8c996c81e547e7a6b5f0aedd212b94.93137.16866402599810000,0,-1,,ts-auth-service,e74f3fd927414c7e8db552c64cea2a0a@10.244.6.39,1686640259982,1686640259982,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
72695f0de8a94c618f784ff6f222707c.93575.16866401426600001,72695f0de8a94c618f784ff6f222707c.93575.16866401426600000,0,-1,,ts-order-other-service,7c89f3f10fdb46b89e591c23b0341ab2@10.244.3.56,1686640142660,1686640142660,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
1a3ad94d8ff14d429316f5cb8689ec87.93366.16866399102710001,1a3ad94d8ff14d429316f5cb8689ec87.93366.16866399102710000,0,-1,,ts-wait-order-service,5d46f0b5297e4387bfb7c106890f4abd@10.244.6.40,1686639910271,1686639910272,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
fdb854ba86fc4bf5a14df84cf733ff94.93741.16866396286730001,fdb854ba86fc4bf5a14df84cf733ff94.93741.16866396286730000,0,-1,,ts-route-service,08424a9c6e2943f19a10adcaec26fcba@10.244.4.54,1686639628673,1686639628673,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
90565c160ceb4df0b1dad0910f80861e.92800.16866400469320003,90565c160ceb4df0b1dad0910f80861e.92800.16866400469320002,0,-1,,ts-food-delivery-service,40ead85bfe66491684974f22e9c88fd1@10.244.6.42,1686640046932,1686640046932,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
747d75e755b94946895f9b6d730ba0b0.93526.16866398381220001,747d75e755b94946895f9b6d730ba0b0.93526.16866398381220000,0,-1,,ts-consign-service,f20382d9246449d1b5ce97722fac1b4c@10.244.3.53,1686639838122,1686639838122,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
8fc8aaf23c6249febb15e69a9ca83f02.93660.16866399103920001,8fc8aaf23c6249febb15e69a9ca83f02.93660.16866399103920000,0,-1,,ts-inside-payment-service,4e892e652cc94cfda250672548373b9e@10.244.5.45,1686639910392,1686639910393,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
f827a305dcfd4e889eb688163a4ad170.92984.16866400716000001,f827a305dcfd4e889eb688163a4ad170.92984.16866400716000000,0,-1,,ts-order-service,a78bf2a612574a9e8c8b42f149893960@10.244.6.45,1686640071600,1686640071601,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
8fc8aaf23c6249febb15e69a9ca83f02.93697.16866400675890001,8fc8aaf23c6249febb15e69a9ca83f02.93697.16866400675890000,0,-1,,ts-inside-payment-service,4e892e652cc94cfda250672548373b9e@10.244.5.45,1686640067589,1686640067589,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
